id,kod,nazov_sk,nazov_lat,skupina,skladom_ks,stav_skladom,zaradenie,posledny_pohyb,hb,pc,sz,aq,vs,mo,pccz,szcz,cz1,pl,uk,hu,ch
1429,TR121,Koralovka mexická,Lampropeltis mexicana mexicana,Terarijné zvieratá Hady,1,0,06.12.2017,01.07.2026 o 13:08:10,0,1,0,1,1,1,1,0,1,1,1,1,1
1427,TR119,Koralovka campbelli,Lampropeltis triangulum campbelli,Terarijné zvieratá Hady,0,0,06.12.2017,,0,0,0,1,0,1,0,0,1,1,1,1,1
1412,TR108,Koralovka hondurensis,Lampropeltis triangulum hondurensis,Terarijné zvieratá Hady,0,0,05.12.2017,06.08.2020 o 12:35:10,0,0,0,1,0,1,0,0,1,1,1,1,1
1413,TR109,Koralovka hondurensis color,Lampropeltis triangulum hondurensis color,Terarijné zvieratá Hady,0,0,05.12.2017,25.12.2023 o 02:07:41,0,0,0,1,0,1,0,0,1,1,1,1,1
1416,TR112,Koralovka hondurensis tangerin,Lampropeltis triangulum hondurensis tangerina,Terarijné zvieratá Hady,0,0,06.12.2017,,0,0,0,1,0,1,0,0,1,1,1,1,1
1430,TR122,Koralovka nelsoni,Lampropeltis triangulum nelsoni,Terarijné zvieratá Hady,0,0,06.12.2017,,0,0,0,1,0,1,0,0,1,1,1,1,1
1431,TR123,Koralovka nelsoni albino,Lampropeltis triangulum nelsoni albino,Terarijné zvieratá Hady,0,0,06.12.2017,,0,0,0,1,0,1,0,0,1,1,1,1,1
346,TR15,Koralovka sedlatá,Lampropeltis triangulum sinaloe,Terarijné zvieratá Hady,0,0,02.11.2017,28.01.2021 o 13:01:43,0,1,0,1,0,1,1,0,1,1,1,1,1
2403,TR247,Ružová Boa,Lichanura trivirgata,Terarijné zvieratá Hady,0,0,01.05.2021,,0,0,0,1,0,1,0,0,1,1,1,1,1
3054,TR411,Morelia amethistina Sorong,Morelia amethistina Sorong,Terarijné zvieratá Hady,0,0,24.07.2023,,0,0,0,1,0,1,0,0,1,1,1,1,1
1426,TR118,Pytón zelený M,Morelia viridis M,Terarijné zvieratá Hady,0,0,06.12.2017,,0,0,0,1,0,1,0,0,1,1,1,1,1
1425,TR117,Pytón zelený S,Morelia viridis S,Terarijné zvieratá Hady,0,0,06.12.2017,,0,0,0,1,0,1,0,0,1,1,1,1,1
3201,TR435,Užovka hmyzožravá,Opheodrys aestivus,Terarijné zvieratá Hady,0,0,13.11.2023,,0,0,0,1,0,1,0,0,1,1,1,1,1
3155,TR421,Pytón kráľovský Fire,Python regius Fire,Terarijné zvieratá Hady,0,0,23.09.2023,25.12.2023 o 02:08:00,0,0,0,1,0,1,0,0,1,1,1,1,1
1428,TR120,Krajta pestrá,Python curtus,Terarijné zvieratá Hady,0,0,06.12.2017,,0,0,0,1,0,1,0,0,1,1,1,1,1
2066,TR201,Krajta pestrá albín,Python curtus albín,Terarijné zvieratá Hady,0,0,30.05.2019,,0,0,0,1,0,1,0,0,1,1,1,1,1
342,TR20,Pytón tmavý,Python mollurus bivitatus,Terarijné zvieratá Hady,0,0,02.11.2017,,0,0,0,1,0,1,0,0,1,1,1,1,1
344,TR21,Pytón tmavý albín,Python mollurus bivitatus albino,Terarijné zvieratá Hady,0,0,02.11.2017,,0,1,0,1,1,1,0,0,1,1,1,1,1
2067,TR202,Python tmavý granit,Python mollurus bivitatus granit,Terarijné zvieratá Hady,0,0,31.05.2019,,0,0,0,1,0,1,0,0,1,1,1,1,1
2068,TR203,Python tmavý granit albin,Python molurus bivittatus granit albino,Terarijné zvieratá Hady,0,0,31.05.2019,,0,0,0,1,1,1,0,0,1,1,1,1,1
3616,TR513,Pytón tmavý zelený,Python molurus bivittatus green,Terarijné zvieratá Hady,0,0,13.09.2025,,0,0,0,1,1,1,0,0,1,1,1,1,1
2750,TR279,Pytón tmavý labyrint albín,python molurus bivittatus labyrint albino,Terarijné zvieratá Hady,0,0,11.01.2022,,0,0,0,1,1,1,0,0,1,1,1,1,1
347,TR22,Pytón kráľovský,Python regius,Terarijné zvieratá Hady,23,2,02.11.2017,01.07.2026 o 08:12:44,0,1,1,1,0,1,1,1,1,1,1,1,1
345,TR23,Pytón kráľovský albín,Python regius albín,Terarijné zvieratá Hady,2,0,02.11.2017,14.02.2024 o 14:26:42,0,0,0,1,0,1,0,0,1,1,1,1,1
2749,TR278,Pytón kráľovský banana,Python regius banana,Terarijné zvieratá Hady,1,0,11.01.2022,27.12.2024 o 12:50:55,0,0,0,1,0,1,0,0,1,1,1,1,1
