id,kod,nazov_sk,nazov_lat,skupina,skladom_ks,stav_skladom,zaradenie,posledny_pohyb,hb,pc,sz,aq,vs,mo,pccz,szcz,cz1,pl,uk,hu,ch
1383,TR90,Felzuma laticauda S,Phelsuma laticauda,Terarijné zvieratá Jaštery,0,0,02.12.2017,,0,0,0,1,0,1,0,0,1,1,1,1,1
3023,TR382,Trnojašter armata,Acanthosaura armata,Terarijné zvieratá Jaštery,0,0,18.07.2023,,0,0,0,1,0,1,0,0,1,1,1,1,1
1530,TR146,Trnojašter kozí,Acanthosaura capra,Terarijné zvieratá Jaštery,0,0,26.12.2017,30.12.2019 o 17:05:25,0,0,0,1,0,1,0,0,1,1,1,1,1
3028,TR387,Trnojašter coronata,Acanthosaura coronata,Terarijné zvieratá Jaštery,0,0,18.07.2023,,0,0,0,1,0,1,0,0,1,1,1,1,1
1531,TR147,Trnojašter lepidogaster,Acanthosaura lepidogaster,Terarijné zvieratá Jaštery,0,0,26.12.2017,30.12.2019 o 18:35:52,0,0,0,1,0,1,0,0,1,1,1,1,1
3586,TR508,Trnojašter Acanthosaura nataliae,Acanthosaura nataliae,Terarijné zvieratá Jaštery,0,0,29.04.2025,,0,0,0,1,0,1,0,0,1,1,1,1,1
3024,TR383,Trnojašter nataliae,Acanthosaura nataliae,Terarijné zvieratá Jaštery,0,0,18.07.2023,,0,0,0,1,0,1,0,0,1,1,1,1,1
3041,TR398,Gekončík kočičí dorsalis,Aeluroscalabotes dorsalis,Terarijné zvieratá Jaštery,0,0,21.07.2023,,0,0,0,1,0,1,0,0,1,1,1,1,1
2910,TR301,Gekončík kočičí,Aeluroscalabotes felinus,Terarijné zvieratá Jaštery,0,0,02.02.2023,,0,0,0,1,0,1,0,0,1,1,1,1,1
368,TR39,Agama osadná,Agama agama,Terarijné zvieratá Jaštery,0,0,02.11.2017,,0,0,0,1,0,1,0,0,1,1,1,1,1
3048,TR405,Ameiva obecná,Ameiva ameiva,Terarijné zvieratá Jaštery,0,0,23.07.2023,,0,0,0,1,0,1,0,0,1,1,1,1,1
378,TR54,Anolis karolínsky samec,Anolis carolinensis samec,Terarijné zvieratá Jaštery,0,0,02.11.2017,18.12.2025 o 17:00:58,0,0,0,1,0,1,0,0,1,1,1,1,1
