id,kod,nazov_sk,nazov_lat,skupina,skladom_ks,stav_skladom,zaradenie,posledny_pohyb,hb,pc,sz,aq,vs,mo,pccz,szcz,cz1,pl,uk,hu,ch
2361,TR233,Žaba Afička ozdobná,Afrixalus dorsalis,Terarijné zvieratá Obojživelnici,0,0,06.02.2021,,0,0,0,1,0,1,0,0,1,1,1,1,1
655,TR83,Žaba,Afrixalus fornasini,Terarijné zvieratá Obojživelnici,0,0,02.11.2017,,0,0,0,1,0,1,0,0,1,1,1,1,1
656,TR84,Žaba listovnica,Agalichnis callydrias,Terarijné zvieratá Obojživelnici,2,5,02.11.2017,24.04.2026 o 22:30:47,0,0,0,1,0,1,0,0,1,1,1,1,1
659,TR84A,Žaba listovnica,Agalichnis spurrelli,Terarijné zvieratá Obojživelnici,0,0,02.11.2017,,0,0,0,1,0,1,0,0,1,1,1,1,1
2116,TR213,Žaba listovnica,Agalychnis lemur,Terarijné zvieratá Obojživelnici,0,0,14.07.2019,,0,0,0,1,0,1,0,0,1,1,1,1,1
2016,TR176,Mlok tigrinum,Ambystoma tigrinum,Terarijné zvieratá Obojživelnici,0,0,26.02.2019,,0,0,0,1,0,1,0,0,1,1,1,1,1
661,TR11,Kuňka východná,Bombina orientalis,Terarijné zvieratá Obojživelnici,0,0,02.11.2017,24.04.2026 o 22:31:00,0,1,0,1,0,1,1,0,1,1,1,1,1
2859,TR292,Kuňka východná modrá,Bombina orientalis blue,Terarijné zvieratá Obojživelnici,0,0,17.11.2022,26.12.2023 o 08:00:42,0,0,0,1,0,1,0,0,1,1,1,1,1
2922,TR313,Žabka Boophis albilabris,Boophis albilabris,Terarijné zvieratá Obojživelnici,0,0,14.02.2023,,0,0,0,1,0,1,0,0,1,1,1,1,1
2923,TR314,Žabka Boophis luteus,Boophis luteus,Terarijné zvieratá Obojživelnici,0,0,14.02.2023,,0,0,0,1,0,1,0,0,1,1,1,1,1
2921,TR312,Žabka Boophis madagascariensis,Boophis madagascariensis,Terarijné zvieratá Obojživelnici,0,0,14.02.2023,,0,0,0,1,0,1,0,0,1,1,1,1,1
3692,TR517,Žaba Boophis rappiodes,Boophis rappiodes,Terarijné zvieratá Obojživelnici,0,0,29.03.2026,,0,0,0,1,0,1,0,0,1,1,1,1,1
3691,TR516,Žaba Boophis viridis,Boophis viridis,Terarijné zvieratá Obojživelnici,0,0,29.03.2026,,0,0,0,1,0,1,0,0,1,1,1,1,1
3026,TR385,Žabka Ropucha škvrnitá,Bufo guttatus,Terarijné zvieratá Obojživelnici,0,0,18.07.2023,,0,0,0,1,0,1,0,0,1,1,1,1,1
2924,TR315,Žabka Bufo marinus,Bufo marinus,Terarijné zvieratá Obojživelnici,0,0,14.02.2023,,0,0,0,1,0,1,0,0,1,1,1,1,1
3027,TR386,Žabka Ropucha juhoázijská,Bufo melanostictus,Terarijné zvieratá Obojživelnici,0,0,18.07.2023,,0,0,0,1,0,1,0,0,1,1,1,1,1
3642,TR515,Žaba Calluella Guttulata,Calluella Guttulata,Terarijné zvieratá Obojživelnici,0,0,13.11.2025,24.04.2026 o 22:31:21,0,0,0,1,0,1,0,0,1,1,1,1,1
663,TR13,Žabka rohatka,Ceratophrys cranwelli,Terarijné zvieratá Obojživelnici,2,0,02.11.2017,31.03.2026 o 13:59:30,0,1,0,1,1,1,1,0,1,1,1,1,1
2943,TR334,Žabka rohatka strawberry,Ceratophrys cranwelli strawberry,Terarijné zvieratá Obojživelnici,0,0,24.02.2023,21.12.2025 o 21:38:13,0,0,0,1,0,1,0,0,1,1,1,1,1
664,TR14,Žabka rohatka albín,Ceratophrys cranwelli albíno,Terarijné zvieratá Obojživelnici,2,0,02.11.2017,27.02.2026 o 13:03:22,0,1,0,1,1,1,0,0,1,1,1,1,1
2867,TR293,Žabka rohatka blue,Ceratophrys cranwelli blue,Terarijné zvieratá Obojživelnici,0,0,23.11.2022,,0,0,0,1,0,1,0,0,1,1,1,1,1
2942,TR333,Žabka rohatka fantasy,Ceratophrys cranwelli fantasy,Terarijné zvieratá Obojživelnici,0,0,23.02.2023,,0,0,0,1,0,1,0,0,1,1,1,1,1
2941,TR332,Žabka rohatka pikachu,Ceratophrys cranwelli pikachu,Terarijné zvieratá Obojživelnici,0,0,23.02.2023,21.12.2025 o 21:39:05,0,0,0,1,0,1,0,0,1,1,1,1,1
1469,TR134,Žabka rohatka ornáta,Ceratophrys ornata,Terarijné zvieratá Obojživelnici,0,0,13.12.2017,,0,0,0,1,0,1,0,0,1,1,1,1,1
3297,TR463,Rosnička lemovaná,Cruziohyla craspedopus,Terarijné zvieratá Obojživelnici,0,0,04.02.2024,,0,0,0,1,0,1,0,0,1,1,1,1,1
3264,TR455,Mlok Cynops ensicauda popei,Cynops ensicauda popei,Terarijné zvieratá Obojživelnici,0,0,13.01.2024,,0,0,0,1,0,1,0,0,1,1,1,1,1
3265,TR456,Mlok Cynops orientalis,Cynops orientalis,Terarijné zvieratá Obojživelnici,0,0,13.01.2024,,0,0,0,1,0,1,0,0,1,1,1,1,1
3266,TR457,Mlok Cynops pirhogaster,Cynops pirhogaster,Terarijné zvieratá Obojživelnici,0,0,13.01.2024,,0,0,0,1,0,1,0,0,1,1,1,1,1
654,TR08,Dendrobatka auratus,Dendrobates auratus,Terarijné zvieratá Obojživelnici,0,0,02.11.2017,25.12.2023 o 02:10:41,0,0,0,1,0,1,0,0,1,1,1,1,1
1401,TR97,Dendrobatka auratus modrá,Dendrobates auratus blue,Terarijné zvieratá Obojživelnici,0,0,04.12.2017,,0,0,0,1,0,1,0,0,1,1,1,1,1
1402,TR98,Dendrobatka auratus bronzová,Dendrobates auratus bronz,Terarijné zvieratá Obojživelnici,0,0,05.12.2017,,0,0,0,1,0,1,0,0,1,1,1,1,1
658,TR09,Dendrobatka azureus,Dendrobates azureus,Terarijné zvieratá Obojživelnici,0,0,02.11.2017,24.10.2024 o 20:19:25,0,0,0,1,0,1,0,0,1,1,1,1,1
1407,TR103,Dendrobatka fantastica,Dendrobates fantastica,Terarijné zvieratá Obojživelnici,0,0,05.12.2017,,0,0,0,1,0,1,0,0,1,1,1,1,1
2169,TR218,Dendrobatka galactonotus,Dendrobates galactonotus,Terarijné zvieratá Obojživelnici,0,0,17.11.2019,,0,0,0,1,0,1,0,0,1,1,1,1,1
662,TR10,Dendrobatka leucomelas,Dendrobates leucomelas,Terarijné zvieratá Obojživelnici,0,0,02.11.2017,08.12.2021 o 06:41:07,0,0,0,1,0,1,0,0,1,1,1,1,1
1403,TR99,Dendrobatka pumilio,Dendrobates pumilio,Terarijné zvieratá Obojživelnici,0,0,05.12.2017,,0,0,0,1,0,1,0,0,1,1,1,1,1
1405,TR101,Dendrobatka summersi,Dendrobates summersi,Terarijné zvieratá Obojživelnici,0,0,05.12.2017,,0,0,0,1,0,1,0,0,1,1,1,1,1
1404,TR100,Dendrobatka tinctorius,Dendrobates tinctorius,Terarijné zvieratá Obojživelnici,0,0,05.12.2017,,0,0,0,1,0,1,0,0,1,1,1,1,1
1406,TR102,Dendrobatka variabilis,Dendrobates variabilis,Terarijné zvieratá Obojživelnici,0,0,05.12.2017,,0,0,0,1,0,1,0,0,1,1,1,1,1
3318,TR470,Rosnička Dendropsophus leucophyllatus,Dendropsophus leucophyllatus,Terarijné zvieratá Obojživelnici,0,0,25.02.2024,24.10.2024 o 20:19:46,0,0,0,1,0,1,0,0,1,1,1,1,1
653,TR80,Rosnička klawn,Dendropsophus leucophyllatus,Terarijné zvieratá Obojživelnici,0,0,02.11.2017,,0,0,0,1,0,1,0,0,1,1,1,1,1
3452,TR489,Žaba Dyscophus guineti,Dyscophus guineti,Terarijné zvieratá Obojživelnici,0,0,28.10.2024,21.12.2025 o 21:39:35,0,0,0,1,0,1,0,0,1,1,1,1,1
2395,TR246,Dendrobatka anthonyi,Epipedobates anthonyi,Terarijné zvieratá Obojživelnici,0,0,27.03.2021,25.12.2023 o 02:11:02,0,0,0,1,0,1,0,0,1,1,1,1,1
3162,TR422,Mlok Eurycea lucifuga,Eurycea lucifuga,Terarijné zvieratá Obojživelnici,0,0,01.10.2023,,0,0,0,1,0,1,0,0,1,1,1,1,1
2362,TR234,Žaba Rákosnička bieloškvrnná,Heterixalus alboguttatus,Terarijné zvieratá Obojživelnici,0,0,07.02.2021,,0,0,0,1,0,1,0,0,1,1,1,1,1
2456,TR262,Žabka sklenená,Hyalinobatrachium fleischmanni,Terarijné zvieratá Obojživelnici,0,0,03.08.2021,08.12.2021 o 06:41:38,0,0,0,1,0,1,0,0,1,1,1,1,1
651,TR81,Rosnička karolínska,Hyla cinerea,Terarijné zvieratá Obojživelnici,0,0,02.11.2017,21.12.2025 o 21:39:56,0,1,0,1,1,1,1,0,1,1,1,1,1
2184,TR226,Rosnička ebraccata,Hyla ebraccata,Terarijné zvieratá Obojživelnici,0,0,17.12.2019,31.12.2021 o 07:48:47,0,0,0,1,0,1,0,0,1,1,1,1,1
3017,TR376,Rosnička hádavá,Hyla squirella,Terarijné zvieratá Obojživelnici,0,0,17.07.2023,,0,0,0,1,0,1,0,0,1,1,1,1,1
2272,TR229,Rosnička šedá,Hyla versicolor,Terarijné zvieratá Obojživelnici,0,0,01.08.2020,,0,0,0,1,0,1,0,0,1,1,1,1,1
652,TR82,Rosnička,Hyperolius argus,Terarijné zvieratá Obojživelnici,0,0,02.11.2017,,0,0,0,1,0,1,0,0,1,1,1,1,1
2925,TR316,Parosnička nádherná,Kaloula pulchra,Terarijné zvieratá Obojživelnici,13,9,14.02.2023,20.11.2025 o 09:39:24,0,0,0,1,0,1,0,0,1,1,1,1,1
657,TR86,Žaba,Leptopelis uluguruense,Terarijné zvieratá Obojživelnici,0,0,02.11.2017,,0,0,0,1,0,1,0,0,1,1,1,1,1
2777,TR286,Žaba litoria,Litoria caerulea,Terarijné zvieratá Obojživelnici,0,1,21.03.2022,21.12.2025 o 21:40:17,0,0,0,1,0,1,0,0,1,1,1,1,1
1408,TR104,Žabka mantela aurantiaca,Mantella aurantaica,Terarijné zvieratá Obojživelnici,0,0,05.12.2017,30.12.2019 o 18:45:17,0,0,0,1,0,1,0,0,1,1,1,1,1
1411,TR107,Žabka mantela cowanii,Mantella cowanii,Terarijné zvieratá Obojživelnici,0,0,05.12.2017,,0,0,0,1,0,1,0,0,1,1,1,1,1
665,TR12,Žabka mantela madagaskarská,Mantella madagascariensis,Terarijné zvieratá Obojživelnici,0,0,02.11.2017,,0,0,0,1,0,1,0,0,1,1,1,1,1
1410,TR106,Žabka mantela nigricans CITES B,Mantella nigricans,Terarijné zvieratá Obojživelnici,0,0,05.12.2017,,0,0,0,1,0,1,0,0,1,1,1,1,1
3374,TR478,Pablatnica nosatá,Megophrys nasuta,Terarijné zvieratá Obojživelnici,4,0,17.06.2024,16.04.2026 o 14:48:39,0,0,0,1,0,1,0,0,1,1,1,1,1
3370,TR476,Ropucha čmeliak,Melanophryniscus klappenbachi,Terarijné zvieratá Obojživelnici,10,0,11.06.2024,20.11.2025 o 09:39:24,0,0,0,1,0,1,0,0,1,1,1,1,1
1409,TR105,Žabka mantela betsileo CITES B,Mentella betsileo,Terarijné zvieratá Obojživelnici,0,0,05.12.2017,,0,0,0,1,0,1,0,0,1,1,1,1,1
3018,TR377,Parosnička skvostná,Microhyla pulchra,Terarijné zvieratá Obojživelnici,0,0,17.07.2023,,0,0,0,1,0,1,0,0,1,1,1,1,1
3243,TR439,Mlok Notophthalmus viridescens,Notophthalmus viridescens,Terarijné zvieratá Obojživelnici,0,0,03.01.2024,,0,0,0,1,0,1,0,0,1,1,1,1,1
3019,TR378,Rosnička kubánska,Osteopilus septentrionalis,Terarijné zvieratá Obojživelnici,0,0,17.07.2023,,0,0,0,1,0,1,0,0,1,1,1,1,1
2366,TR236,Dendrobatka vittatus,Phyllobates vittatus,Terarijné zvieratá Obojživelnici,0,0,18.02.2021,08.12.2021 o 06:42:46,0,0,0,1,0,1,0,0,1,1,1,1,1
3020,TR379,Žaba lietavka,Polypedates leucomystax,Terarijné zvieratá Obojživelnici,0,0,17.07.2023,,0,0,0,1,0,1,0,0,1,1,1,1,1
3163,TR423,Žaba Polypedates otilophus,Polypedates otilophus,Terarijné zvieratá Obojživelnici,0,0,01.10.2023,,0,0,0,1,0,1,0,0,1,1,1,1,1
2926,TR317,Hrabatka Pyxicephalus adspersus,Pyxicephalus adspersus,Terarijné zvieratá Obojživelnici,4,0,14.02.2023,26.02.2026 o 11:35:13,0,0,0,1,0,1,0,0,1,1,1,1,1
3021,TR380,Skokan červenouchý,Rana (Hylarana) erythraea,Terarijné zvieratá Obojživelnici,0,0,17.07.2023,,0,0,0,1,0,1,0,0,1,1,1,1,1
3423,TR487,Žaba,Rentapia flavomaculata (Pedostibus hoseii),Terarijné zvieratá Obojživelnici,0,0,19.09.2024,24.10.2024 o 20:20:54,0,0,0,1,0,1,0,0,1,1,1,1,1
3498,TR494,Žaba Rhacophorus reinwardtii,Rhacophorus reinwardtii,Terarijné zvieratá Obojživelnici,0,0,31.01.2025,,0,0,0,1,0,1,0,0,1,1,1,1,1
2989,TR367,Mlok Salamandra s. terrestris,Salamandra s. terrestris,Terarijné zvieratá Obojživelnici,0,0,24.04.2023,,0,0,0,1,0,1,0,0,1,1,1,1,1
