id,kod,nazov_sk,nazov_lat,skupina,skladom_ks,stav_skladom,zaradenie,posledny_pohyb,hb,pc,sz,aq,vs,mo,pccz,szcz,cz1,pl,uk,hu,ch
1859,RY667,Hlavostojka hypselonotus,Abramites hypselonotus,Ryby Tetry,0,0,15.08.2018,24.04.2026 o 23:09:01,0,0,0,1,1,1,0,0,1,1,1,1,1
2822,RY1036,Tetra brichardi,Alestopetersius brichardi,Ryby Tetry,0,0,17.10.2022,,0,0,0,1,1,1,0,0,1,1,1,1,1
1025,RY21,Tetra kongo citronová,Alestopetersius caudalis,Ryby Tetry,0,0,02.11.2017,15.12.2025 o 15:04:34,0,0,0,1,1,1,0,0,1,1,1,1,1
3133,RY1177,Tetra Alestopetersius nigropterus,Alestopetersius nigropterus,Ryby Tetry,0,0,03.09.2023,,0,0,0,1,1,1,0,0,1,1,1,1,1
2825,RY1039,Tetra kongo modrá,Alestopetersius smykalai,Ryby Tetry,0,0,23.10.2022,,0,0,0,1,1,1,0,0,1,1,1,1,1
1857,RY665,Hlavostojka nádherná,Anostomus anostomus,Ryby Tetry,0,0,15.08.2018,20.12.2022 o 05:50:40,0,0,0,1,1,1,0,0,1,1,1,1,1
1858,RY666,Hlavostojka ternetzi,Anostomus ternetzi,Ryby Tetry,0,0,15.08.2018,,0,0,0,1,1,1,0,0,1,1,1,1,1
3011,RY1128,Hlavostojka trimaculátus,Anostomus trimaculatus,Ryby Tetry,0,0,01.07.2023,,0,0,0,1,1,1,0,0,1,1,1,1,1
1004,RY41,Tetra červenoplutvá,Aphyocharax anisitsi,Ryby Tetry,0,0,02.11.2017,07.12.2021 o 22:55:41,0,0,0,1,1,1,0,0,1,1,1,1,1
1005,RY42,Tetra paraguayská,Aphyocharax paraguayensis,Ryby Tetry,0,0,02.11.2017,06.10.2025 o 12:19:27,0,0,0,1,1,1,0,0,1,1,1,1,1
1003,RY40,Tetra rathbunova,Aphyocharax rathbuni,Ryby Tetry,200,0,02.11.2017,26.06.2026 o 10:16:36,0,0,0,1,1,1,0,0,1,1,1,1,1
995,RY38,Tetra kolumbijská,Astyanax columbiana,Ryby Tetry,0,0,02.11.2017,16.06.2026 o 17:47:18,0,0,1,1,1,1,0,1,1,1,1,1,1
2398,RY891,Tetra kolumbijská zlatá,Astyanax columbiana gold,Ryby Tetry,8,0,06.04.2021,24.04.2026 o 22:39:39,0,0,0,1,1,1,0,0,1,1,1,1,1
994,RY37,Tetra jaskynná,Astyanax mexicanus,Ryby Tetry,0,0,02.11.2017,,0,0,0,1,1,1,0,0,1,1,1,1,1
1855,RY663,Axelrodia kolumbijska,Axelrodia riesei,Ryby Tetry,0,0,15.08.2018,21.12.2025 o 19:30:26,0,0,0,1,1,1,0,0,1,1,1,1,1
2896,RY1098,Tetra (Bathyaethiops greeni),Bathyaethiops greeni,Ryby Tetry,0,0,29.12.2022,,0,0,0,1,1,1,0,0,1,1,1,1,1
1002,RY39,Tetra modrá,Boehlkea fredcochui,Ryby Tetry,338,0,02.11.2017,26.06.2026 o 10:16:36,0,0,1,1,1,1,0,1,1,1,1,1,1
1860,RY668,Tetra dlhoplutvá,Brycinus longipinnis,Ryby Tetry,0,0,15.08.2018,,0,0,0,1,1,1,0,0,1,1,1,1,1
996,RY45,Sekernatka drobná,Carnegiella marthae,Ryby Tetry,0,0,02.11.2017,20.12.2022 o 05:52:04,0,0,0,1,1,1,0,0,1,1,1,1,1
1000,RY44,Sekernatka mramorová,Carnegiella strigata,Ryby Tetry,0,0,02.11.2017,09.05.2026 o 22:24:23,0,0,1,1,1,1,0,1,1,1,1,1,1
3480,RY1385,Neonka červená S,Cheirodon axelrodi,Ryby Tetry,0,0,09.12.2024,27.04.2026 o 23:04:08,0,0,0,1,1,1,0,0,1,1,1,1,1
1864,RY672,Neonka červená L,Cheirodon axelrodi,Ryby Tetry,0,0,06.09.2018,27.04.2026 o 23:04:29,0,0,0,1,1,1,0,0,1,1,1,1,1
1286,RY04,Neonka červená M,Cheirodon axelrodi,Ryby Tetry,37,0,06.11.2017,29.06.2026 o 13:57:55,0,0,1,1,1,1,0,1,1,1,1,1,1
2013,RY767,Neonka červená XL,Cheirodon axelrodi,Ryby Tetry,500,0,13.02.2019,11.06.2026 o 13:19:26,0,0,0,1,1,1,0,0,1,1,1,1,1
1284,RY04A,Neonka červená zlatá,Cheirodon axelrodi gold,Ryby Tetry,0,0,06.11.2017,27.12.2024 o 16:03:38,0,0,0,1,1,1,0,0,1,1,1,1,1
1001,RY43,Hlavostojka bodkovaná,Chilodus punctatus,Ryby Tetry,0,0,02.11.2017,29.12.2020 o 05:49:50,0,0,0,1,1,1,0,0,1,1,1,1,1
997,RY46,Piraňa rastlinožravá,Colossoma brachypomum,Ryby Tetry,0,0,02.11.2017,,0,0,0,1,1,1,0,0,1,1,1,1,1
987,RY36,Tetra striekavá,Copella arnoldi,Ryby Tetry,0,0,02.11.2017,,0,0,0,1,1,1,0,0,1,1,1,1,1
2864,RY1076,Tetra Copella meinkeni,Copella meinkeni,Ryby Tetry,0,0,19.11.2022,,0,0,0,1,1,1,0,0,1,1,1,1,1
2865,RY1077,Tetra Copella nattereri,Copella nattereri,Ryby Tetry,0,0,19.11.2022,,0,0,0,1,1,1,0,0,1,1,1,1,1
2791,RY1012,Tetra veľkoplutvá,Corynopoma riisei,Ryby Tetry,0,0,28.04.2022,,0,0,0,1,1,1,0,0,1,1,1,1,1
2790,RY1011,Tetra strieborná,Ctenobrycon spilurus,Ryby Tetry,0,0,28.04.2022,,0,0,0,1,1,1,0,0,1,1,1,1,1
1759,RY613,Patetra strieborná,Distichodus affinis,Ryby Tetry,0,0,03.03.2018,,0,0,0,1,1,1,0,0,1,1,1,1,1
1760,RY614,Patetra šesťpruhá,Distichodus sexfasciatus,Ryby Tetry,0,0,03.03.2018,05.04.2024 o 20:59:33,0,0,0,1,1,1,0,0,1,1,1,1,1
1595,RY571,Tetra dvojškvrnná,Exodon paradoxus,Ryby Tetry,0,0,03.01.2018,,0,0,0,1,1,1,0,0,1,1,1,1,1
2764,RY992,Sekernatka škvrnitá,Gasteropelecus maculatus,Ryby Tetry,0,0,07.02.2022,20.12.2022 o 05:53:55,0,0,0,1,1,1,0,0,1,1,1,1,1
1364,RY471,Sekernatka čiernopruhá,Gasteropelecus sternicla,Ryby Tetry,0,0,23.11.2017,15.12.2025 o 15:06:49,0,0,0,1,1,1,0,0,1,1,1,1,1
1026,RY20,Tetra čierna,Gymnocorymbus ternetzi,Ryby Tetry,157,0,02.11.2017,25.06.2026 o 11:39:07,0,0,1,1,1,1,0,1,1,1,1,1,1
983,RY20B,Tetra čierna zlatá,Gymnocorymbus ternetzi gold,Ryby Tetry,70,0,02.11.2017,24.06.2026 o 13:59:20,0,0,1,1,1,1,0,1,1,1,1,1,1
1028,RY20C,Tetra čierna zlatá závojová,Gymnocorymbus ternetzi gold l.f.,Ryby Tetry,0,0,02.11.2017,,0,0,0,1,1,1,0,0,1,1,1,1,1
1027,RY20A,Tetra čierna závojová,Gymnocorymbus ternetzi l.f.,Ryby Tetry,0,0,02.11.2017,15.12.2025 o 19:26:26,0,0,0,1,1,1,0,0,1,1,1,1,1
988,RY32,Tetra medenná,Hasemania nanna,Ryby Tetry,105,0,02.11.2017,22.06.2026 o 16:25:55,0,0,1,1,1,1,0,1,1,1,1,1,1
2997,RY1120,Tetra medenná XL,Hasemania nanna XL,Ryby Tetry,10,0,09.05.2023,09.01.2026 o 11:26:17,0,0,0,1,1,1,0,0,1,1,1,1,1
2792,RY1013,Tetra rodwayi,Hemigrammus rodwayi,Ryby Tetry,0,0,28.04.2022,,0,0,0,1,1,1,0,0,1,1,1,1,1
3147,RY1187,Tetra armstrongi,Hemigrammus armstrongi,Ryby Tetry,0,0,17.09.2023,,0,0,0,1,1,1,0,0,1,1,1,1,1
1281,RY07,Tetra kopijovitá,Hemigrammus caudovittatus,Ryby Tetry,0,0,06.11.2017,21.06.2026 o 12:43:34,0,0,1,1,1,1,0,1,1,1,1,1,1
1282,RY07A,Tetra kopijovitá zlatá,Hemigrammus caudovittatus gold,Ryby Tetry,16,0,06.11.2017,23.06.2026 o 13:57:12,0,0,1,1,1,1,0,1,1,1,1,1,1
