id,kod,nazov_sk,nazov_lat,skupina,skladom_ks,stav_skladom,zaradenie,posledny_pohyb,hb,pc,sz,aq,vs,mo,pccz,szcz,cz1,pl,uk,hu,ch
2448,TR258,Slimák,Achatina fulica albino,Terarijné zvieratá Ostatné,0,0,23.07.2021,25.12.2023 o 02:11:42,0,0,0,1,0,1,0,0,1,1,1,1,1
690,TR76,Slimák,Achatina fulicata,Terarijné zvieratá Ostatné,0,0,02.11.2017,21.06.2026 o 14:46:23,0,1,0,1,0,1,1,0,1,1,1,1,1
691,TR77,Slimák,Achatina reticulata,Terarijné zvieratá Ostatné,0,0,02.11.2017,21.12.2025 o 21:42:38,0,1,0,1,0,1,1,0,1,1,1,1,1
2794,TR289,Mnohonôžka,Benoitolus siamensis,Terarijné zvieratá Ostatné,0,0,19.05.2022,,0,0,0,1,0,1,0,0,1,1,1,1,1
3331,TR473,Pakobylka indická,Carausius morosus,Terarijné zvieratá Ostatné,0,0,29.03.2024,24.10.2024 o 20:21:50,0,0,0,1,0,1,0,0,1,1,1,1,1
2763,TR282,Krab pustovník,Coenobita clypeatus,Terarijné zvieratá Ostatné,0,0,01.02.2022,29.12.2022 o 14:08:25,0,0,0,1,0,1,0,0,1,1,1,1,1
3332,TR474,Pakobylka drapľavá,Eurycantha calcarata,Terarijné zvieratá Ostatné,0,0,29.03.2024,21.12.2025 o 21:43:02,0,0,0,1,0,1,0,0,1,1,1,1,1
686,TR73,Strašilka,Exatotera tiaratum,Terarijné zvieratá Ostatné,0,0,02.11.2017,08.12.2021 o 06:44:22,0,0,0,1,0,1,0,0,1,1,1,1,1
2368,TR238,Strašilka,Extatosoma tiaratum lichen,Terarijné zvieratá Ostatné,0,0,23.02.2021,08.12.2021 o 06:44:43,0,0,0,1,0,1,0,0,1,1,1,1,1
688,TR75,Modlivka,Hymenopus coronatus,Terarijné zvieratá Ostatné,0,0,02.11.2017,08.12.2021 o 06:45:12,0,0,0,1,0,1,0,0,1,1,1,1,1
687,TR72,Strašilka,Medauroidea extradentata,Terarijné zvieratá Ostatné,0,0,02.11.2017,29.12.2022 o 14:08:54,0,0,0,1,0,1,0,0,1,1,1,1,1
689,TR74,Listovka,Phyllium giganteum,Terarijné zvieratá Ostatné,0,0,02.11.2017,,0,0,0,1,0,1,0,0,1,1,1,1,1
2367,TR237,Modlivka,Pseudocreobotra wahlbergii,Terarijné zvieratá Ostatné,0,0,19.02.2021,08.12.2021 o 06:45:42,0,0,0,1,0,1,0,0,1,1,1,1,1
2455,TR261,Strašilka filipínska,Sungaya inexpectata,Terarijné zvieratá Ostatné,0,0,03.08.2021,,0,0,0,1,0,1,0,0,1,1,1,1,1
2937,TR328,Mnohonožka Tonkinbolus,Tonkinbolus dollfusi,Terarijné zvieratá Ostatné,0,0,16.02.2023,17.03.2023 o 10:59:17,0,0,0,1,0,1,0,0,1,1,1,1,1
