id,kod,nazov_sk,nazov_lat,skupina,skladom_ks,stav_skladom,zaradenie,posledny_pohyb,hb,pc,sz,aq,vs,mo,pccz,szcz,cz1,pl,uk,hu,ch
821,TR63,Pavúk,"Acantoscurria geniculata 2,5 cm",Terarijné zvieratá Pavúci,4,0,02.11.2017,24.04.2026 o 22:33:14,0,1,1,1,0,1,1,1,1,1,1,1,1
823,TR64,Pavúk,Aphonopelma seemani,Terarijné zvieratá Pavúci,0,0,02.11.2017,,0,0,0,1,0,1,0,0,1,1,1,1,1
1482,TR141,Pavúk,Avicularia avicularia,Terarijné zvieratá Pavúci,7,0,14.12.2017,04.01.2025 o 22:28:59,0,0,0,1,0,1,1,0,1,1,1,1,1
2038,TR181,Pavúk,Aviculária laeta,Terarijné zvieratá Pavúci,0,0,09.05.2019,,0,0,0,1,0,1,0,0,1,1,1,1,1
818,TR65,Pavúk,Avicularia metalica,Terarijné zvieratá Pavúci,10,0,02.11.2017,08.08.2025 o 08:31:58,0,0,0,1,0,1,1,0,1,1,1,1,1
2039,TR182,Pavúk,Aviculária purpurea,Terarijné zvieratá Pavúci,0,0,09.05.2019,,0,0,0,1,0,1,0,0,1,1,1,1,1
1481,TR140,Pavúk,Avicularia versicolor,Terarijné zvieratá Pavúci,0,0,14.12.2017,08.12.2021 o 06:46:47,0,0,0,1,0,1,0,0,1,1,1,1,1
824,TR68,Pavúk,Brachypelma albopilosum 4cm,Terarijné zvieratá Pavúci,1,7,02.11.2017,06.04.2026 o 12:42:48,0,0,0,1,0,1,1,0,1,1,1,1,1
822,TR67,Pavúk,Brachypelma auratum,Terarijné zvieratá Pavúci,0,0,02.11.2017,,0,0,0,1,0,1,0,0,1,1,1,1,1
820,TR69,Pavúk,Brachypelma boehmei,Terarijné zvieratá Pavúci,2,0,02.11.2017,23.06.2026 o 13:48:56,0,0,1,1,0,1,1,1,1,1,1,1,1
1324,TR88,Pavúk,Brachypelma emilia,Terarijné zvieratá Pavúci,2,10,17.11.2017,22.05.2026 o 13:07:31,0,1,0,1,0,1,1,0,1,1,1,1,1
2040,TR183,Pavúk,Brachypelma hamorii 3cm,Terarijné zvieratá Pavúci,0,0,09.05.2019,21.06.2026 o 14:46:51,0,0,0,1,1,1,0,0,1,1,1,1,1
819,TR70,Pavúk,Brachypelma hamorii (ex. smithi),Terarijné zvieratá Pavúci,0,0,02.11.2017,21.06.2026 o 14:47:01,0,0,1,1,1,1,0,1,1,1,1,1,1
816,TR71,Pavúk,Brachypelma klassi,Terarijné zvieratá Pavúci,0,0,02.11.2017,,0,0,0,1,0,1,0,0,1,1,1,1,1
3591,TR511,Pavúk,Brachypelma mix,Terarijné zvieratá Pavúci,0,0,10.06.2025,21.12.2025 o 10:11:15,0,0,0,1,0,0,1,0,0,1,1,1,1
2119,TR214,Pavúk,Brachypelma vagans 4cm,Terarijné zvieratá Pavúci,0,0,29.07.2019,21.12.2025 o 10:11:28,0,0,1,1,1,1,0,1,1,1,1,1,1
3175,TR426,Pavúk,Chilobrachys sp. electric blue,Terarijné zvieratá Pavúci,0,0,10.10.2023,27.12.2024 o 13:21:05,0,0,0,1,0,1,0,0,1,1,1,1,1
2774,TR285,Pavúk,Citharischius crawshayi,Terarijné zvieratá Pavúci,0,0,10.03.2022,,0,0,0,1,0,1,1,0,1,1,1,1,1
2793,TR288,Pavúk,Eucratoscelus pachypus,Terarijné zvieratá Pavúci,0,0,15.05.2022,,0,0,0,1,0,1,1,0,1,1,1,1,1
2833,TR291,Pavúk,"Grammostola pulchripes 3,5cm",Terarijné zvieratá Pavúci,1,0,31.10.2022,24.04.2026 o 22:34:55,0,0,1,1,0,1,0,1,1,1,1,1,1
2359,TR232,Pavúk,Gramostola aureostriata,Terarijné zvieratá Pavúci,0,0,19.01.2021,25.12.2023 o 02:14:27,0,0,0,1,0,1,0,0,1,1,1,1,1
815,TR66,Pavúk,Gramostola rosea,Terarijné zvieratá Pavúci,0,0,02.11.2017,21.12.2025 o 10:11:44,0,0,0,1,0,1,0,0,1,1,1,1,1
817,TR66A,Pavúk,Gramostola spatula,Terarijné zvieratá Pavúci,0,0,02.11.2017,,0,0,0,1,0,1,0,0,1,1,1,1,1
1758,TR169,Pavúk,Hysterocrates hercules,Terarijné zvieratá Pavúci,0,0,03.03.2018,27.07.2018 o 22:18:04,0,0,0,1,0,1,0,0,1,1,1,1,1
1478,TR137,Pavúk,Lasiodora parahybana,Terarijné zvieratá Pavúci,0,0,14.12.2017,02.01.2025 o 17:06:29,0,0,1,1,0,1,1,1,1,1,1,1,1
