id,kod,nazov_sk,nazov_lat,skupina,skladom_ks,stav_skladom,zaradenie,posledny_pohyb,hb,pc,sz,aq,vs,mo,pccz,szcz,cz1,pl,uk,hu,ch
3164,TR424,Škorpion Buthacus leptochelys,Buthacus leptochelys,Terarijné zvieratá Škorpiony,0,0,01.10.2023,27.12.2024 o 13:27:25,0,0,0,1,1,1,0,0,1,1,1,1,1
3508,TR497,Škorpion Chaerilus cimrmani,Chaerilus cimrmani,Terarijné zvieratá Škorpiony,0,0,08.03.2025,,0,0,0,1,1,1,0,0,1,1,1,1,1
2772,TR283,Škorpion Zuluanus,Hadogenes zuluanus,Terarijné zvieratá Škorpiony,0,0,10.03.2022,,0,0,0,1,0,1,0,0,1,1,1,1,1
2668,TR265,Škorpion,Heterometrus cyaneus 4cm,Terarijné zvieratá Škorpiony,3,0,25.10.2021,12.05.2026 o 13:27:43,0,0,0,1,0,1,0,0,1,1,1,1,1
3004,TR372,Škorpion,Heterometrus laoticus,Terarijné zvieratá Škorpiony,5,3,08.06.2023,24.04.2026 o 22:35:15,0,0,0,1,1,1,0,0,1,1,1,1,1
2669,TR266,Škorpion,Heterometrus longimanus,Terarijné zvieratá Škorpiony,0,0,25.10.2021,,0,0,0,1,0,1,0,0,1,1,1,1,1
2037,TR180,Škorpion,Heterometrus petersii,Terarijné zvieratá Škorpiony,8,5,09.05.2019,01.07.2026 o 13:48:18,0,1,1,1,1,1,1,1,1,1,1,1,1
2799,TR290,Škorpion,Heterometrus petersii baby 3cm,Terarijné zvieratá Škorpiony,0,18,10.06.2022,21.06.2026 o 14:47:32,0,0,0,1,0,1,0,0,1,1,1,1,1
1060,TR61,Škorpion,Heterometrus scaber,Terarijné zvieratá Škorpiony,0,0,02.11.2017,19.12.2025 o 10:40:48,0,1,0,1,0,1,1,0,1,1,1,1,1
2670,TR267,Škorpion,Heterometrus spinifer,Terarijné zvieratá Škorpiony,4,2,25.10.2021,24.04.2026 o 22:36:38,0,0,0,1,1,1,0,0,1,1,1,1,1
1056,TR87,Škorpion,Hottentotta trilineatus,Terarijné zvieratá Škorpiony,0,0,02.11.2017,,0,0,0,1,0,1,0,0,1,1,1,1,1
3497,TR493,Škorpion Leiurus quinquestriatus,Leiurus quinquestriatus,Terarijné zvieratá Škorpiony,0,0,31.01.2025,,0,0,0,1,0,1,0,0,1,1,1,1,1
3323,TR471,Škorpion Liocheles australasiae,Liocheles australasiae,Terarijné zvieratá Škorpiony,0,0,11.03.2024,,0,0,0,1,0,1,0,0,1,1,1,1,1
3238,TR438,Škorpion australasiae S,Liocheles australasiae S,Terarijné zvieratá Škorpiony,0,0,27.11.2023,,0,0,0,1,0,1,0,0,1,1,1,1,1
1057,TR62,Škorpion,Opistophtalmus carinatus,Terarijné zvieratá Škorpiony,0,0,02.11.2017,,0,1,0,1,0,1,1,0,1,1,1,1,1
3002,TR371,Škorpion,Orthochirus innesi,Terarijné zvieratá Škorpiony,0,0,06.06.2023,27.12.2024 o 13:25:15,0,0,0,1,0,1,0,0,1,1,1,1,1
1058,TR60A,Škorpion,Pandinus carvimanus,Terarijné zvieratá Škorpiony,0,0,02.11.2017,,0,0,0,1,0,1,0,0,1,1,1,1,1
1059,TR60,Škorpion,Pandinus imperator,Terarijné zvieratá Škorpiony,0,0,02.11.2017,08.12.2021 o 06:50:28,0,0,0,1,0,1,0,0,1,1,1,1,1
2180,TR223,Škorpion,Scorpio maurus,Terarijné zvieratá Škorpiony,0,0,29.11.2019,21.06.2026 o 14:47:49,0,0,0,1,0,1,0,0,1,1,1,1,1
3509,TR498,Škorpion Smeringurus mesaensis,Smeringurus mesaensis,Terarijné zvieratá Škorpiony,0,0,08.03.2025,,0,0,0,1,0,1,0,0,1,1,1,1,1
3363,TR475,Škorpion Tityus stigmurus,Tityus stigmurus,Terarijné zvieratá Škorpiony,1,1,12.05.2024,29.01.2025 o 14:04:24,0,0,0,1,0,1,0,0,1,1,1,1,1
